element,pp,Fit-none,Fit-partial,Fit-all
H,H,-3.327,-3.394,-3.434
He,He,-0.004,-0.004,-0.004
Li,Li_sv,-1.907,-1.907,-1.731
Be,Be,-3.755,-3.755,-3.653
B,B,-6.678,-6.678,-6.656
C,C,-9.217,-9.217,-9.044
N,N,-8.235,-8.122,-8.195
O,O,-4.844,-4.485,-4.523
F,F,-1.666,-1.429,-1.443
Ne,Ne,-0.029,-0.029,-0.029
Na,Na_pv,-1.303,-1.212,-1.196
Mg,Mg,-1.542,-1.542,-1.417
Al,Al,-3.746,-3.746,-3.66
Si,Si,-5.425,-5.425,-5.386
P,P,-5.405,-5.161,-5.175
S,S,-4.114,-3.839,-3.868
Cl,Cl,-1.82,-1.465,-1.479
Ar,Ar,-0.006,-0.006,-0.006
K,K_sv,-1.097,-1.097,-0.987
Ca,Ca_pv,-1.978,-1.978,-1.78
Sc,Sc_sv,-6.328,-6.328,-6.344
Ti,Ti,-7.776,-7.712,-7.702
V,V,-8.941,-8.941,-8.898
Cr,Cr,-9.508,-9.508,-9.463
Mn,Mn,-9.027,-9.027,-8.898
Fe,Fe,-8.308,-8.308,-8.499
Co,Co,-7.09,-7.09,-7.078
Ni,Ni,-5.567,-5.567,-5.587
Cu,Cu,-3.716,-3.716,-3.71
Zn,Zn,-1.266,-1.266,-1.157
Ga,Ga_d,-3.032,-3.032,-2.902
Ge,Ge_d,-4.624,-4.624,-4.522
As,As,-4.652,-4.652,-4.593
Se,Se,-3.481,-3.481,-3.374
Br,Br,-1.606,-1.317,-1.333
Kr,Kr,-0.004,-0.004,-0.004
Rb,Rb_sv,-0.963,-0.963,-0.881
Sr,Sr_sv,-1.683,-1.683,-1.549
Y,Y_sv,-6.464,-6.464,-6.449
Zr,Zr_sv,-8.547,-8.547,-8.438
Nb,Nb_pv,-10.094,-10.094,-10.017
Mo,Mo_pv,-10.848,-10.848,-10.921
Tc,Tc_pv,-10.361,-10.361,-10.457
Ru,Ru,-9.202,-9.202,-9.21
Rh,Rh,-7.269,-7.269,-7.319
Pd,Pd,-5.177,-5.177,-5.197
Ag,Ag,-2.822,-2.822,-2.907
Cd,Cd,-0.9,-0.9,-0.861
In,In_d,-2.72,-2.72,-2.609
Sn,Sn_d,-4.007,-3.895,-3.938
Sb,Sb,-4.118,-4.118,-4.155
Te,Te,-3.142,-3.142,-3.027
I,I,-1.509,-1.344,-1.365
Xe,Xe,0.003,0.003,-0.64
Cs,Cs_sv,-0.855,-0.855,-0.744
Ba,Ba_sv,-1.924,-1.924,-1.479
La,La,-4.935,-4.935,-4.959
Ce,Ce_3,-4.777,-4.777,-4.564
Pr,Pr_3,-4.775,-4.775,-4.627
Nd,Nd_3,-4.763,-4.763,-4.697
Pm,Pm_3,-4.745,-4.745,-4.716
Sm,Sm_3,-4.715,-4.715,-4.606
Eu,Eu_2,-1.888,-1.888,-1.708
Gd,Gd_3,-4.655,-4.655,-4.718
Tb,Tb_3,-4.629,-4.629,-4.731
Dy,Dy_3,-4.602,-4.602,-4.66
Ho,Ho_3,-4.577,-4.577,-4.573
Er,Er_3,-4.563,-4.563,-4.582
Tm,Tm_3,-4.475,-4.475,-4.451
Yb,Yb_2,-1.513,-1.513,-1.125
Lu,Lu_3,-4.524,-4.524,-4.549
Hf,Hf_pv,-9.955,-9.955,-9.902
Ta,Ta_pv,-11.853,-11.853,-11.941
W,W_pv,-12.96,-12.96,-13.13
Re,Re,-12.423,-12.423,-12.378
Os,Os_pv,-11.226,-11.226,-11.374
Ir,Ir,-8.855,-8.855,-8.953
Pt,Pt,-6.056,-6.056,-6.162
Au,Au,-3.267,-3.267,-3.283
Hg,Hg,-0.298,-0.376,-0.374
Tl,Tl_d,-2.359,-2.359,-2.48
Pb,Pb_d,-3.704,-3.704,-3.951
Bi,Bi_d,-4.039,-4.039,-4.199
Ac,Ac,-4.106,-4.106,-4.106
Th,Th,-7.413,-7.413,-7.237
Pa,Pa,-9.496,-9.496,-9.497
U,U,-11.292,-11.292,-11.032
Np,Np,-12.94,-12.94,-12.797
Pu,Pu,-14.298,-14.298,-13.95
